274368	ucdt	Cooked Chicken
934593	ucdt	Skin: White Unicorn Full Helmet
1204537	ucdt	Skin: Heavy Assault Full Helmet
1794653	ugdt	Founder's Shotgun
2000996	ucdt	Combat Shotgun<br>Mercenary AR-15<br>Patriotic AR-15
2293306	ugdt	Parachute
3566505	ucdt	T
4527007	ugdt	Surgical Tubing
4720349	ucdt	Gas Grenade
5404723	ucdt	ChangeCamera
5421930	ucdt	This contains crates that do not require a key to open.  It contains 47 Unlocked Infernal Crates, 1 Bronze Infernal Crate,  1 Silver Infernal Crate, and 1 Gold Infernal Crate that is guaranteed to have an <font color="#FFFFD701">Ultra Rare</font> item!
6329828	ucdt	OEM_FINISH
7734604	ucdt	Salute
8059506	ucdt	This key opens the Mercenary Crate.<br><br>[The key can be used by right clicking the matching crate in the Account Inventory window and selecting Open Crate.]
9139710	ucdt	AR15 Crate Opener
9175067	ucdt	TogglePerformance
9242148	ugdt	Locker 207
10220348	ucdt	Metal Full Face Respirator
10898477	ucdt	Stairs.Exterior.01.Base.Modular
11285553	ugdt	PickupTruck Motor
11338385	ucdt	Set the quality of flora. Lower this setting to increase performance at a visual cost.
11535759	ucdt	ADD NEW CARD
12593078	ucdt	Madrid (EU)
12830732	ucdt	156th
12839057	ucdt	Hunting Polo
13358923	ugdt	Vial of H1Z1 Infected Blood
14500031	ucdt	Infernal Crate - Unlocked
14552153	ucdt	Beg
16999457	ucdt	Match Server (US)
17294819	ucdt	Skin: Police Shirt
17830304	ugdt	Male Hair 4
17904405	ucdt	Emote10
18811314	ucdt	Menu No. 15;
Meal Ready-To-Eat, Individual;
US Government Property; Commercial Resale Is Unlawful
[Replenishes a small amount of energy]
19297349	ucdt	CN
21780944	ucdt	Tea Bag B
22013416	ucdt	Skin: Sniper Laminated Body Armor
22441232	ucdt	Sheffield (EU)
23527026	ugdt	Locker 591
23680351	ucdt	Steve's Local Server
24052747	ucdt	Mask of The Zombie King
24120964	ucdt	Gamepad Axis RZ-
25227965	ucdt	Foundation
25365256	ugdt	Grown Corn
25726534	ucdt	<font color="#FFDF00">Experimental Weapon Component</font><br><br>This weapon component can be combined with other prototype pieces and unskinned firearms to create a military grade experimental weapon.  The upgraded weapon will have special effects added to it's shots.
26450486	ugdt	Steel Katana
27067565	ugdt	Washing Machine
28302726	ucdt	Speed
28352220	ucdt	[[*key*]] Check For Water
28555222	ucdt	Tan Ghillie Suit Boots
28871811	ucdt	Gaben (EU)
29781970	ucdt	Cycle Main Window Tabs
30550758	ucdt	Doh
30570189	ugdt	Gasser Bladder
30765765	ucdt	145th
30982038	ucdt	8th
30983240	ugdt	Showdown Shirt
32558562	ucdt	74th
32929276	ucdt	This door can fit inside of most shelter doorways.
[If not repaired this will fall apart after two weeks.]
33295072	ucdt	Skin: Birds Graphic T-Shirt
33393638	ucdt	This Event has not started <br> Date: 
33713954	ucdt	ENTRY FEE
34380354	ucdt	[[*key*]] Take [*target*]
35298697	ucdt	Wolf Steak
38028419	ucdt	Bombing Run
38316467	ucdt	Skin: JoshOG Leather Jacket
38445806	ugdt	Yeast Starter
38807292	ucdt	Copenhagen (EU)
39822183	ucdt	Aiming Mouse Sensitivity
39931042	ucdt	Skin: Blue Trucker Cap
41700906	ucdt	These seeds can only be planted in fresh tilled soil.
41990058	ucdt	Menu No. 3;
Meal Ready-To-Eat, Individual;
US Government Property; Commercial Resale Is Unlawful
[Replenishes a small amount of energy]
42545000	ucdt	HappyDance
43414728	ucdt	91st
43546748	ucdt	Rex (EU)
43623280	ucdt	WeaponOptic
44359350	ucdt	Shield Eyes
44666198	ucdt	121st
45550920	ugdt	Industrial Door
45661093	ucdt	Zip Ties
45715727	ucdt	Cut Throat
46626365	ucdt	This item has been renamed. Original name: "Skin: Yellow Plaid Bandana"
46788839	ucdt	Are you sure you want to change your Region?
47052197	ugdt	Day 23
47602819	ugdt	Event 2
48728756	ucdt	This contains crates that do not require a key to open.  It contains 47 Unlocked Predator Crates, 1 Bronze Predator Crate,  1 Silver Predator Crate, and 1 Gold Predator Crate that is guaranteed to have an <font color="#FFFFD701">Ultra Rare</font> item!
50357699	ugdt	Pink Anarchy Armor
50437192	ucdt	Camo Tanktop
51390001	ucdt	Belt
51734027	ucdt	50 EZW Crates
